i_episode,total_reward,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
92,-214.998974348,-2.59034908853,4.979999999999982,-16.8497823241,-0.862071622011,0.0,6.16045174841,4.08371048455,0.0,-5.41743244574,-0.555724508341,-46.7124011434,-0.276120528853,-28.649152733,0.0,899.703996475,99.5222754756,900.247372808,899.847690634
93,-220.036203249,-2.6194786101,5.0399999999999805,-16.9421089199,-6.12329725332,0.0,0.555049892551,2.30418968546,0.0,-4.07506396584,-7.07942962091,-41.6281841895,-0.0391591611223,-28.6539488258,0.0,900.028596685,98.9823170196,900.160590703,900.454064637
94,-212.976373465,-2.59727284714,4.919999999999983,-16.9539146044,-6.5095252339,0.0,5.929059549,5.81463071091,0.0,-5.21461707766,-10.4350645744,-50.7613239573,0.0276073301552,-28.6594347615,0.0,900.132981406,99.6857722627,900.019281753,900.325549694
95,-214.291076684,-2.58182020102,4.979999999999982,-16.541322027,-1.08652610088,0.0,6.18056237404,4.03504353765,0.0,-5.25153773297,-0.506845869101,-46.5842318363,-0.22508702174,-28.6666072369,0.0,900.325660908,99.8525166531,900.126133204,899.913580967
96,-184.688500398,-2.5299794575,4.379999999999995,-13.4870940744,-24.8015613233,0.0,5.43400329786,2.37558620584,0.0,-2.78383493183,-66.1129536919,-114.761013437,-0.00484711019266,-28.652234964,0.0,899.983346631,100.002500647,899.988086894,899.63775507
97,-213.919246287,-2.57734031671,4.979999999999982,-16.2922799,-0.0356764776168,0.0,6.1588231981,4.0216886208,0.0,-5.16858755758,-0.138930440297,-46.5862304021,-0.141808157337,-28.6526447539,0.0,900.003071593,100.601295169,900.10513771,900.262025563
98,-213.155499324,-2.56813854608,4.979999999999982,-15.8368288038,-0.0465415046788,0.0,0.119472502665,3.96071392225,0.0,-4.94724957173,-0.337809065058,-46.4144115265,0.0260101386275,-28.6736191157,0.0,900.445041452,99.791303964,900.55501511,900.116614903
99,-220.561434584,-2.6257313641,5.0399999999999805,-16.8344948365,-14.4173712361,7.31124477436,1.31567905108,2.36176785932,0.0,-3.16119098483,-12.9724396186,-30.4528630356,0.380110423469,-28.6570795682,0.0,900.062691671,99.4241152334,900.144676288,900.061940653
100,-214.682047457,-2.58653069226,4.979999999999982,-16.6671959845,-1.37813368651,0.0,6.19986922521,4.0037961832,0.0,-5.22599270056,-0.783286793295,-46.555910358,-0.362841449251,-28.6745086091,0.0,900.462618908,99.3741376643,900.694558328,899.391028569
101,-214.868790106,-2.58878060369,4.979999999999982,-16.8510228803,-2.32762082259,0.0,0.268889008908,4.07939773622,0.0,-5.3819272732,-1.86909907056,-46.8431477853,0.394091187137,-28.6494418737,0.0,899.796294417,100.318890955,899.426831945,900.166475946
